feature,importance,category
iqr_mean,0.027345512,STATIC
wavelet_energy_2_max_rolling_mean_5,0.026396317,ROLLING_MEAN
iqr_mean_rolling_mean_5,0.02327058,ROLLING_MEAN
mad_mean_rolling_mean_5,0.01940086,ROLLING_MEAN
gamma_relative_max_rolling_mean_5,0.018233037,ROLLING_MEAN
perm_entropy_max_lag3,0.017491613,LAG3
mad_mean,0.016287958,STATIC
wavelet_energy_2_mean,0.014793405,STATIC
alpha_power_max_rolling_mean_5,0.014034891,ROLLING_MEAN
wavelet_energy_5_mean,0.013527592,STATIC
petrosian_fd_max_lag3,0.012764454,LAG3
alpha_power_mean_rolling_mean_5,0.010878955,ROLLING_MEAN
wavelet_energy_5_mean_rolling_mean_5,0.00985091,ROLLING_MEAN
wavelet_energy_2_std,0.008645106,STATIC
gamma_relative_std_lag1,0.008531593,LAG1
theta_relative_mean_rolling_mean_5,0.0083344355,ROLLING_MEAN
alpha_power_std_rolling_mean_5,0.008259706,ROLLING_MEAN
gamma_relative_std_lag3,0.0082403105,LAG3
zero_crossings_std_lag3,0.008012093,LAG3
max_mean,0.007962785,STATIC
zero_crossings_max_rolling_mean_5,0.0077019227,ROLLING_MEAN
gamma_power_mean,0.0073696207,STATIC
alpha_relative_mean_rolling_mean_5,0.0070899213,ROLLING_MEAN
wavelet_energy_4_mean_rolling_mean_5,0.006737947,ROLLING_MEAN
beta_relative_std_rolling_mean_5,0.0066176145,ROLLING_MEAN
theta_power_mean_rolling_mean_5,0.006528769,ROLLING_MEAN
higuchi_fd_std_lag3,0.00645916,LAG3
zero_crossings_std,0.006455933,STATIC
sample_entropy_mean_rolling_mean_5,0.0062334896,ROLLING_MEAN
line_length_max_rolling_mean_5,0.006225575,ROLLING_MEAN
beta_relative_max_rolling_mean_5,0.0061782105,ROLLING_MEAN
wavelet_energy_4_mean,0.006165234,STATIC
mad_max_rolling_mean_5,0.006127447,ROLLING_MEAN
zero_crossings_max_lag3,0.005973032,LAG3
gamma_power_mean_lag1,0.0056949076,LAG1
max_std_rolling_mean_5,0.0056474404,ROLLING_MEAN
iqr_std_rolling_mean_5,0.0055487775,ROLLING_MEAN
petrosian_fd_mean_rolling_mean_5,0.0050106402,ROLLING_MEAN
min_max_rolling_mean_5,0.0048062764,ROLLING_MEAN
petrosian_fd_max_rolling_mean_5,0.0046753925,ROLLING_MEAN
gamma_power_mean_lag3,0.004642819,LAG3
gamma_relative_mean_rolling_mean_5,0.0046037976,ROLLING_MEAN
line_length_max,0.0045805844,STATIC
gamma_power_mean_rolling_mean_5,0.0045270654,ROLLING_MEAN
perm_entropy_max,0.0043085115,STATIC
ptp_std_lag1,0.004307446,LAG1
spectral_entropy_max_rolling_mean_5,0.004290423,ROLLING_MEAN
higuchi_fd_std,0.004117649,STATIC
delta_relative_std_rolling_mean_5,0.0040246905,ROLLING_MEAN
higuchi_fd_max_lag3,0.0039945436,LAG3
mad_std,0.0039759045,STATIC
perm_entropy_max_lag1,0.0039734966,LAG1
max_max_lag1,0.0039644353,LAG1
wavelet_energy_5_max,0.0039398693,STATIC
iqr_std,0.0039342255,STATIC
higuchi_fd_max_rolling_mean_5,0.003914962,ROLLING_MEAN
higuchi_fd_std_rolling_mean_5,0.0038878329,ROLLING_MEAN
max_std_lag3,0.0038493944,LAG3
gamma_relative_std,0.0038453448,STATIC
delta_power_mean_rolling_mean_5,0.0038188922,ROLLING_MEAN
perm_entropy_max_rolling_mean_5,0.0038128805,ROLLING_MEAN
zero_crossings_std_rolling_mean_5,0.0037932808,ROLLING_MEAN
wavelet_energy_4_max_rolling_mean_5,0.003779903,ROLLING_MEAN
max_std_lag1,0.0037531077,LAG1
wavelet_energy_3_std_lag3,0.003747972,LAG3
petrosian_fd_mean,0.0037331737,STATIC
iqr_max,0.003683198,STATIC
theta_relative_mean_stability_5,0.0035524566,STABILITY
wavelet_energy_5_std_lag3,0.003538173,LAG3
gamma_relative_mean_stability_5,0.0035338586,STABILITY
zero_crossings_mean,0.0034913614,STATIC
mad_max,0.0034591537,STATIC
zero_crossings_mean_rolling_mean_5,0.0034404981,ROLLING_MEAN
perm_entropy_mean_rolling_mean_5,0.00342506,ROLLING_MEAN
petrosian_fd_std_rolling_mean_5,0.003396327,ROLLING_MEAN
sample_entropy_mean,0.003341712,STATIC
theta_power_std_rolling_mean_5,0.0033353828,ROLLING_MEAN
theta_power_max_rolling_mean_5,0.0032785072,ROLLING_MEAN
beta_relative_std,0.0032734752,STATIC
higuchi_fd_std_lag1,0.0032533417,LAG1
gamma_power_std_rolling_mean_5,0.0032354204,ROLLING_MEAN
line_length_std_rolling_mean_5,0.003172971,ROLLING_MEAN
zero_crossings_mean_lag3,0.0031371473,LAG3
sample_entropy_std_stability_5,0.0030457845,STABILITY
beta_relative_max,0.003042559,STATIC
zero_crossings_std_stability_5,0.003013776,STABILITY
zero_crossings_std_lag1,0.0030001178,LAG1
gamma_relative_std_rolling_mean_5,0.0029876244,ROLLING_MEAN
mad_std_rolling_mean_5,0.0029583748,ROLLING_MEAN
max_max_rolling_mean_5,0.002894342,ROLLING_MEAN
rms_max_rolling_mean_5,0.0028729371,ROLLING_MEAN
wavelet_energy_3_std,0.0028457514,STATIC
petrosian_fd_max,0.0027979885,STATIC
perm_entropy_mean_lag3,0.0027928867,LAG3
wavelet_energy_4_mean_lag3,0.0027384039,LAG3
wavelet_energy_4_max_lag1,0.002653003,LAG1
ptp_std_lag3,0.0026091838,LAG3
std_max,0.0026024678,STATIC
sample_entropy_max_stability_5,0.0025408838,STABILITY
petrosian_fd_max_lag1,0.0025080885,LAG1
wavelet_energy_3_std_rolling_mean_5,0.002471202,ROLLING_MEAN
variance_std,0.0024604483,STATIC
beta_relative_mean_stability_5,0.0024361566,STABILITY
variance_max_rolling_mean_5,0.0024111413,ROLLING_MEAN
theta_relative_max_rolling_mean_5,0.0023945544,ROLLING_MEAN
spectral_entropy_max,0.0023938015,STATIC
beta_power_mean_lag3,0.002344716,LAG3
theta_relative_mean,0.0023335274,STATIC
alpha_relative_std_rolling_mean_5,0.002311739,ROLLING_MEAN
higuchi_fd_std_stability_5,0.0022832106,STABILITY
beta_power_mean_rolling_mean_5,0.0022525517,ROLLING_MEAN
wavelet_energy_3_std_stability_5,0.002233998,STABILITY
min_max,0.0022331933,STATIC
perm_entropy_mean,0.002220817,STATIC
beta_power_max_rolling_mean_5,0.0022041104,ROLLING_MEAN
min_max_stability_5,0.0021878735,STABILITY
line_length_mean_rolling_mean_5,0.002185714,ROLLING_MEAN
theta_relative_std_rolling_mean_5,0.0021661164,ROLLING_MEAN
wavelet_energy_1_mean,0.0021626255,STATIC
sample_entropy_max_lag1,0.0021457532,LAG1
mad_mean_stability_5,0.0021361394,STABILITY
wavelet_energy_3_max_rolling_mean_5,0.0021350682,ROLLING_MEAN
wavelet_energy_1_std_rolling_mean_5,0.0021182196,ROLLING_MEAN
petrosian_fd_mean_lag1,0.002108857,LAG1
higuchi_fd_mean_rolling_mean_5,0.0020877868,ROLLING_MEAN
elapsed_time_fraction,0.0020724202,POSITION
alpha_relative_max_rolling_mean_5,0.00205952,ROLLING_MEAN
beta_power_std_rolling_mean_5,0.0020422358,ROLLING_MEAN
line_length_std_lag3,0.0020258701,LAG3
delta_relative_std_lag1,0.002005131,LAG1
max_max,0.0019864235,STATIC
ptp_max_rolling_mean_5,0.0019808619,ROLLING_MEAN
delta_power_std_lag3,0.001963429,LAG3
line_length_max_lag3,0.0019525674,LAG3
alpha_power_max_stability_5,0.0019460189,STABILITY
higuchi_fd_max_stability_5,0.0019312574,STABILITY
wavelet_energy_1_max_rolling_mean_5,0.0018848866,ROLLING_MEAN
wavelet_energy_1_std,0.001883995,STATIC
petrosian_fd_std_lag1,0.0018284195,LAG1
perm_entropy_std_rolling_mean_5,0.0017921671,ROLLING_MEAN
wavelet_energy_5_std_lag1,0.0017848543,LAG1
wavelet_energy_2_mean_stability_5,0.0017744697,STABILITY
spectral_entropy_mean,0.0017654499,STATIC
perm_entropy_mean_stability_5,0.001760994,STABILITY
min_std_rolling_mean_5,0.0017609448,ROLLING_MEAN
perm_entropy_mean_lag1,0.0017584998,LAG1
zero_crossings_max_lag1,0.0017447155,LAG1
ptp_max,0.0017286282,STATIC
rms_std_lag3,0.0017254378,LAG3
delta_relative_max_rolling_mean_5,0.0017239907,ROLLING_MEAN
wavelet_energy_1_mean_rolling_mean_5,0.0017060222,ROLLING_MEAN
wavelet_energy_4_std_rolling_mean_5,0.0017014962,ROLLING_MEAN
petrosian_fd_std,0.0016825384,STATIC
delta_power_mean,0.0016572914,STATIC
delta_power_max_rolling_mean_5,0.0016559404,ROLLING_MEAN
wavelet_energy_2_max,0.0016443632,STATIC
beta_relative_mean_rolling_mean_5,0.0016426401,ROLLING_MEAN
wavelet_energy_4_mean_stability_5,0.0016342,STABILITY
delta_relative_std_stability_5,0.0016321695,STABILITY
wavelet_energy_4_std_lag1,0.0016264339,LAG1
theta_power_mean_lag3,0.0016198743,LAG3
ptp_std,0.0016124255,STATIC
delta_relative_mean,0.0016108233,STATIC
line_length_mean_lag3,0.0016020163,LAG3
ptp_std_rolling_mean_5,0.0015980961,ROLLING_MEAN
mad_max_lag1,0.0015941439,LAG1
wavelet_energy_5_std,0.0015884521,STATIC
alpha_relative_max_lag1,0.0015756261,LAG1
iqr_std_lag1,0.0015688181,LAG1
theta_relative_max_stability_5,0.0015680052,STABILITY
wavelet_energy_5_max_lag1,0.001567872,LAG1
wavelet_energy_5_std_rolling_mean_5,0.0015599325,ROLLING_MEAN
wavelet_energy_0_std_rolling_mean_5,0.0015586249,ROLLING_MEAN
rms_max_lag3,0.001557828,LAG3
spectral_entropy_std_rolling_mean_5,0.0015560514,ROLLING_MEAN
std_std_rolling_mean_5,0.0015536258,ROLLING_MEAN
theta_relative_max_lag3,0.0015469824,LAG3
theta_power_max_lag1,0.0015468281,LAG1
theta_power_std,0.0015461153,STATIC
sample_entropy_mean_lag1,0.0015395157,LAG1
remaining_time_fraction,0.0015356843,POSITION
delta_power_mean_lag3,0.0015352183,LAG3
line_length_max_lag1,0.0015281453,LAG1
beta_relative_mean,0.0015207016,STATIC
iqr_std_lag3,0.0015116084,LAG3
perm_entropy_std,0.0015102087,STATIC
iqr_mean_stability_5,0.0014985839,STABILITY
min_std,0.001491051,STATIC
delta_power_std_stability_5,0.0014883566,STABILITY
spectral_entropy_max_lag1,0.0014752062,LAG1
min_mean,0.0014708443,STATIC
sample_entropy_std_rolling_mean_5,0.001466971,ROLLING_MEAN
theta_relative_std_stability_5,0.0014597138,STABILITY
mean_std_rolling_mean_5,0.0014533667,ROLLING_MEAN
alpha_relative_max_stability_5,0.0014375377,STABILITY
gamma_power_max,0.0014228895,STATIC
mean_mean_stability_5,0.0014171206,STABILITY
sample_entropy_mean_lag3,0.0014160622,LAG3
zero_crossings_max,0.0014146775,STATIC
min_std_lag3,0.0014030649,LAG3
wavelet_energy_4_mean_lag1,0.0014016987,LAG1
sample_entropy_max_lag3,0.0013942046,LAG3
wavelet_energy_3_mean_rolling_mean_5,0.0013925905,ROLLING_MEAN
wavelet_energy_5_mean_lag1,0.0013879846,LAG1
higuchi_fd_max,0.0013833169,STATIC
wavelet_energy_3_mean_stability_5,0.0013828054,STABILITY
spectral_entropy_mean_stability_5,0.0013718097,STABILITY
max_std,0.0013641032,STATIC
delta_relative_mean_rolling_mean_5,0.0013456567,ROLLING_MEAN
theta_power_mean_stability_5,0.001343402,STABILITY
line_length_mean,0.0013394906,STATIC
spectral_entropy_max_lag3,0.0013342457,LAG3
gamma_relative_mean,0.0013334306,STATIC
beta_power_max_stability_5,0.0013314477,STABILITY
petrosian_fd_mean_lag3,0.0013286482,LAG3
alpha_power_mean_lag3,0.0013270159,LAG3
sample_entropy_std_lag3,0.001316201,LAG3
relative_position_in_edf,0.0013144816,POSITION
theta_relative_std,0.0013042532,STATIC
wavelet_energy_1_mean_stability_5,0.0013033106,STABILITY
petrosian_fd_mean_stability_5,0.0013024728,STABILITY
higuchi_fd_mean_stability_5,0.0013018586,STABILITY
wavelet_energy_5_max_lag3,0.0013010629,LAG3
iqr_mean_lag1,0.0012994452,LAG1
mean_max_rolling_mean_5,0.0012969988,ROLLING_MEAN
theta_relative_std_lag3,0.0012965119,LAG3
ptp_mean_stability_5,0.0012924512,STABILITY
