feature,importance
mad,0.09636377
wavelet_energy_1,0.0912373
iqr,0.047133327
delta_power,0.043436877
wavelet_energy_5,0.03393731
gamma_power,0.033013035
wavelet_energy_4,0.032152664
beta_power,0.031077245
perm_entropy,0.030638061
ptp,0.03017361
sample_entropy,0.029197216
variance,0.028954813
zero_crossings,0.028954128
theta_relative,0.028437743
alpha_power,0.02687222
higuchi_fd,0.02667422
petrosian_fd,0.026459923
line_length,0.026086956
gamma_relative,0.025802987
wavelet_energy_0,0.025638793
max,0.024297569
alpha_relative,0.023044357
theta_power,0.02295605
rms,0.022743663
min,0.022540566
beta_relative,0.021607647
wavelet_energy_2,0.021489358
spectral_entropy,0.020747833
wavelet_energy_3,0.020637967
std,0.020500073
delta_relative,0.018806092
mean,0.01838663
