feature,importance
theta_power,0.08518609
delta_power,0.062181488
wavelet_energy_1,0.058956806
iqr,0.047070786
mad,0.041914016
wavelet_energy_5,0.03940702
gamma_power,0.032981787
ptp,0.031753123
wavelet_energy_4,0.02964599
rms,0.029111078
min,0.028815044
theta_relative,0.028639039
wavelet_energy_3,0.028096113
gamma_relative,0.027762648
sample_entropy,0.027756648
perm_entropy,0.0272867
max,0.02727647
petrosian_fd,0.026502877
zero_crossings,0.02617059
line_length,0.025462734
wavelet_energy_0,0.02507757
alpha_relative,0.024614628
alpha_power,0.024373163
wavelet_energy_2,0.023880398
beta_power,0.023418592
higuchi_fd,0.022817902
spectral_entropy,0.021808164
delta_relative,0.021637034
beta_relative,0.021628443
variance,0.021012634
mean,0.01896646
std,0.01878806
