feature,importance,cumulative_importance
wavelet_energy_1_mean,0.06394386,0.06394386
wavelet_energy_0_mean,0.03506001,0.099003874
mad_mean,0.034596544,0.13360041
iqr_mean,0.022814658,0.15641508
wavelet_energy_3_mean,0.021388255,0.17780334
beta_power_mean,0.021245288,0.19904862
min_max,0.020672707,0.21972133
ptp_std,0.020132579,0.23985392
gamma_relative_std,0.018955633,0.25880957
beta_relative_std,0.016621241,0.2754308
theta_relative_mean,0.016193308,0.2916241
petrosian_fd_max,0.01605973,0.30768383
min_std,0.01588052,0.32356435
line_length_std,0.015119312,0.33868366
mad_max,0.013879425,0.35256308
iqr_std,0.013707829,0.3662709
sample_entropy_mean,0.013518007,0.3797889
gamma_power_max,0.012938924,0.39272782
mad_std,0.012711727,0.40543956
gamma_relative_max,0.012659104,0.41809866
wavelet_energy_4_max,0.012542538,0.4306412
delta_power_mean,0.012469872,0.44311106
perm_entropy_max,0.012459109,0.45557016
zero_crossings_std,0.011559464,0.46712962
sample_entropy_max,0.011512365,0.478642
alpha_power_std,0.01140461,0.4900466
wavelet_energy_1_std,0.010930923,0.5009775
line_length_mean,0.010741168,0.5117187
beta_relative_max,0.010522741,0.5222414
higuchi_fd_std,0.010410138,0.53265154
alpha_relative_mean,0.010385346,0.5430369
wavelet_energy_2_std,0.0102560865,0.553293
wavelet_energy_5_max,0.009907629,0.5632006
beta_relative_mean,0.009815471,0.57301605
ptp_max,0.009639998,0.582656
ptp_mean,0.009546068,0.59220207
variance_mean,0.009522418,0.6017245
wavelet_energy_3_std,0.009278188,0.6110027
gamma_power_std,0.009052611,0.6200553
line_length_max,0.009010127,0.62906545
petrosian_fd_mean,0.008975872,0.6380413
perm_entropy_mean,0.0089400755,0.6469814
wavelet_energy_1_max,0.008930015,0.65591145
rms_std,0.0088416105,0.6647531
petrosian_fd_std,0.008827604,0.6735807
gamma_power_mean,0.008817606,0.6823983
spectral_entropy_max,0.0086684935,0.6910668
max_max,0.008468821,0.6995356
wavelet_energy_4_mean,0.008345099,0.70788074
zero_crossings_max,0.008251174,0.7161319
higuchi_fd_max,0.0081390105,0.72427094
rms_mean,0.008023551,0.7322945
perm_entropy_std,0.007902157,0.74019665
wavelet_energy_5_std,0.007870082,0.7480667
theta_relative_std,0.007826161,0.7558929
std_mean,0.0076958123,0.76358867
wavelet_energy_4_std,0.0074977987,0.77108645
wavelet_energy_2_mean,0.0072635994,0.77835006
theta_power_std,0.0072572855,0.78560734
gamma_relative_mean,0.0072103995,0.7928177
variance_max,0.0072069727,0.8000247
alpha_relative_std,0.007110471,0.80713516
higuchi_fd_mean,0.0070995176,0.8142347
wavelet_energy_2_max,0.007077786,0.8213125
zero_crossings_mean,0.0070743617,0.82838684
variance_std,0.007057191,0.83544403
theta_relative_max,0.0070409696,0.842485
wavelet_energy_3_max,0.0067820014,0.849267
max_mean,0.006632348,0.85589933
min_mean,0.006597968,0.8624973
wavelet_energy_5_mean,0.0065825307,0.8690799
std_std,0.006541351,0.87562126
max_std,0.0065197935,0.88214105
rms_max,0.006388252,0.8885293
beta_power_std,0.006213463,0.8947428
delta_relative_mean,0.0061117476,0.9008545
alpha_power_max,0.0060357396,0.9068903
std_max,0.0058569536,0.9127472
beta_power_max,0.005829155,0.91857636
iqr_max,0.0058109425,0.9243873
spectral_entropy_mean,0.0056863236,0.9300736
spectral_entropy_std,0.0056586247,0.93573225
delta_relative_std,0.0056518666,0.94138414
sample_entropy_std,0.0055934777,0.9469776
wavelet_energy_0_std,0.0054936726,0.9524713
theta_power_mean,0.005306099,0.95777744
mean_std,0.005156008,0.9629334
delta_relative_max,0.0051480476,0.9680815
wavelet_energy_0_max,0.0048249974,0.9729065
alpha_power_mean,0.004772427,0.9776789
alpha_relative_max,0.004419234,0.9820981
delta_power_std,0.003830351,0.9859285
delta_power_max,0.0037731978,0.9897017
mean_max,0.003527343,0.99322903
theta_power_max,0.003433683,0.99666274
mean_mean,0.0033374182,1.0000001
