feature,importance,rank,cumulative_importance,cumulative_percentage
mad_mean,0.09145833,1,0.09145833,9.145833
wavelet_energy_1_mean,0.055100396,2,0.14655873,14.655873
gamma_power_mean,0.043604705,3,0.19016343,19.016344
iqr_mean,0.038483538,4,0.22864696,22.864697
zero_crossings_max,0.028309958,5,0.25695693,25.695694
wavelet_energy_2_mean,0.028083837,6,0.28504077,28.504076
wavelet_energy_4_mean,0.027750777,7,0.31279156,31.279156
petrosian_fd_max,0.027686093,8,0.34047765,34.047764
min_max,0.018832816,9,0.35931045,35.931046
beta_relative_std,0.01762677,10,0.3769372,37.69372
perm_entropy_max,0.016847271,11,0.3937845,39.37845
beta_relative_max,0.015559923,12,0.4093444,40.93444
zero_crossings_std,0.014395776,13,0.42374018,42.37402
higuchi_fd_std,0.013535532,14,0.4372757,43.72757
wavelet_energy_2_max,0.013087647,15,0.45036337,45.036335
alpha_power_mean,0.012978393,16,0.46334177,46.33418
line_length_max,0.012448606,17,0.47579038,47.579037
zero_crossings_mean,0.012351999,18,0.48814237,48.814236
theta_relative_mean,0.012304595,19,0.500447,50.044697
iqr_std,0.012050123,20,0.5124971,51.249714
wavelet_energy_4_std,0.011911797,21,0.52440894,52.440895
wavelet_energy_5_mean,0.011839788,22,0.53624874,53.624874
wavelet_energy_4_max,0.011689001,23,0.54793775,54.793774
petrosian_fd_mean,0.011250076,24,0.5591878,55.91878
wavelet_energy_5_max,0.010430289,25,0.5696181,56.96181
mad_std,0.010375221,26,0.5799933,57.999332
perm_entropy_mean,0.010013945,27,0.59000725,59.000725
wavelet_energy_5_std,0.009474958,28,0.5994822,59.94822
delta_relative_mean,0.009229137,29,0.6087113,60.87113
sample_entropy_mean,0.009226753,30,0.61793804,61.793804
rms_std,0.009047805,31,0.62698585,62.698586
theta_power_mean,0.008681486,32,0.6356673,63.566734
alpha_relative_mean,0.008659182,33,0.6443265,64.43265
wavelet_energy_2_std,0.008630493,34,0.652957,65.2957
line_length_std,0.008614715,35,0.66157174,66.15717
higuchi_fd_max,0.008600164,36,0.6701719,67.01719
iqr_max,0.00856825,37,0.67874014,67.874016
gamma_power_std,0.008303448,38,0.6870436,68.70436
sample_entropy_max,0.008029935,39,0.69507354,69.507355
gamma_relative_std,0.008011168,40,0.7030847,70.30847
std_std,0.007908564,41,0.7109933,71.09933
perm_entropy_std,0.0078078387,42,0.71880114,71.88011
line_length_mean,0.007478625,43,0.7262798,72.62798
wavelet_energy_1_max,0.007445711,44,0.7337255,73.37255
sample_entropy_std,0.007365316,45,0.7410908,74.10908
spectral_entropy_mean,0.0073488792,46,0.74843967,74.84396
wavelet_energy_3_mean,0.007257257,47,0.75569695,75.569695
alpha_relative_std,0.0071603064,48,0.76285726,76.28573
wavelet_energy_0_mean,0.007059717,49,0.76991695,76.99169
ptp_std,0.006848002,50,0.7767649,77.67649
wavelet_energy_1_std,0.006805551,51,0.78357047,78.35705
delta_relative_std,0.0065289955,52,0.79009944,79.00994
wavelet_energy_3_max,0.0063169026,53,0.79641634,79.64163
petrosian_fd_std,0.006205875,54,0.8026222,80.26222
wavelet_energy_3_std,0.0061290646,55,0.8087513,80.87513
min_std,0.0060495865,56,0.81480086,81.48009
spectral_entropy_max,0.006047784,57,0.82084864,82.08486
rms_max,0.005966137,58,0.8268148,82.68148
mean_std,0.0059480746,59,0.83276284,83.27628
beta_power_max,0.0058996934,60,0.8386625,83.86625
max_mean,0.005897179,61,0.84455967,84.45596
max_max,0.0058684633,62,0.8504281,85.04281
higuchi_fd_mean,0.0057430365,63,0.85617113,85.61711
max_std,0.005648996,64,0.8618201,86.18201
min_mean,0.005569761,65,0.86738986,86.73898
alpha_power_std,0.005526648,66,0.8729165,87.29165
theta_relative_max,0.0055248966,67,0.8784414,87.84414
beta_power_std,0.005435868,68,0.8838773,88.387726
variance_max,0.0053841113,69,0.88926136,88.92614
theta_relative_std,0.005300681,70,0.89456207,89.45621
spectral_entropy_std,0.005245895,71,0.899808,89.9808
gamma_relative_mean,0.0051876893,72,0.9049957,90.499565
gamma_relative_max,0.0049892287,73,0.9099849,90.99849
mad_max,0.0049855663,74,0.91497046,91.49705
ptp_max,0.0048688143,75,0.91983926,91.983925
ptp_mean,0.0047928784,76,0.92463213,92.46321
beta_relative_mean,0.004605009,77,0.9292371,92.92371
theta_power_std,0.0044553843,78,0.9336925,93.369255
alpha_power_max,0.0044511817,79,0.9381437,93.81437
beta_power_mean,0.00443014,80,0.9425738,94.25738
delta_power_mean,0.0043244,81,0.94689816,94.68982
std_max,0.004183873,82,0.95108205,95.10821
std_mean,0.004182819,83,0.95526487,95.52649
delta_power_max,0.0040453332,84,0.9593102,95.931015
wavelet_energy_0_std,0.0038226426,85,0.9631328,96.31328
variance_mean,0.003724856,86,0.9668577,96.68577
mean_max,0.0035679592,87,0.9704256,97.04256
gamma_power_max,0.0034873246,88,0.97391295,97.3913
alpha_relative_max,0.0034532095,89,0.97736615,97.73662
wavelet_energy_0_max,0.0033845562,90,0.9807507,98.075066
delta_power_std,0.0033762688,91,0.9841269,98.41269
theta_power_max,0.0033608242,92,0.98748773,98.74877
delta_relative_max,0.0033009797,93,0.9907887,99.07887
mean_mean,0.003298164,94,0.99408686,99.40868
variance_std,0.003126013,95,0.9972129,99.72129
rms_mean,0.002786773,96,0.99999964,99.99996
