,,label,label,window_index,window_index,window_start_sec,window_start_sec,window_end_sec,window_end_sec
,,count,sum,min,max,min,max,min,max
patient,edf,,,,,,,,
chb01,chb01_01.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_02.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_03.edf,1798,23,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_04.edf,1798,16,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_05.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_06.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_07.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_08.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_09.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_10.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_11.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_12.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_13.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_14.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_15.edf,1798,23,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_16.edf,1798,28,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_17.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_18.edf,1798,48,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_19.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_20.edf,1330,0,0,1329,0.0,2658.0,4.0,2662.0
chb01,chb01_21.edf,1798,49,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_22.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_23.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_24.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_25.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_26.edf,1161,53,0,1160,0.0,2320.0,4.0,2324.0
chb01,chb01_27.edf,298,0,0,297,0.0,594.0,4.0,598.0
chb01,chb01_29.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_30.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_31.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_32.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_33.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_34.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_36.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_37.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_38.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_39.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_40.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_41.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_42.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_43.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb01,chb01_46.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_01.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_02.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_03.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_04.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_05.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_06.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_07.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_08.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_09.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_10.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_11.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_12.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_13.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_14.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_15.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_16+.edf,1798,43,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_16.edf,478,44,0,477,0.0,954.0,4.0,958.0
chb02,chb02_17.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_18.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_19.edf,1798,7,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_20.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_21.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_22.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_23.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_24.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_25.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_26.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_27.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_28.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_29.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_30.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_31.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_32.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_33.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
chb02,chb02_34.edf,1798,0,0,1797,0.0,3594.0,4.0,3598.0
