rank,feature,importance,category
1,wavelet_energy_0_mean_rolling_mean_5,0.0386036410927772,ROLLING_MEAN
2,mad_mean,0.0334244892001152,STATIC
3,min_max,0.0291844811290502,STATIC
4,iqr_mean,0.0193498432636261,STATIC
5,petrosian_fd_max_lag3,0.0184403546154499,LAG3
6,iqr_mean_rolling_mean_5,0.0166697241365909,ROLLING_MEAN
7,min_max_rolling_mean_5,0.0155533459037542,ROLLING_MEAN
8,delta_power_mean_rolling_mean_5,0.0142814870923757,ROLLING_MEAN
9,wavelet_energy_4_mean_rolling_mean_5,0.0130622144788503,ROLLING_MEAN
10,zero_crossings_max_lag3,0.0126555422320961,LAG3
11,sample_entropy_mean_rolling_mean_5,0.0126266628503799,ROLLING_MEAN
12,perm_entropy_max_lag3,0.0089529780671,LAG3
13,zero_crossings_mean_rolling_mean_5,0.0086497506126761,ROLLING_MEAN
14,gamma_power_mean,0.0075782882049679,STATIC
15,beta_relative_std_rolling_mean_5,0.007359080016613,ROLLING_MEAN
16,wavelet_energy_3_max_rolling_mean_5,0.0073468191549181,ROLLING_MEAN
17,perm_entropy_mean_stability_5,0.0062854434363543,STABILITY
18,zero_crossings_max_rolling_mean_5,0.0060764565132558,ROLLING_MEAN
19,petrosian_fd_mean_stability_5,0.0060287998057901,STABILITY
20,wavelet_energy_4_max_lag1,0.0059665716253221,LAG1
21,gamma_relative_max,0.0057162200100719,STATIC
22,gamma_relative_std,0.0055779623799026,STATIC
23,petrosian_fd_max,0.0054315272718667,STATIC
24,petrosian_fd_max_lag1,0.0053934920579195,LAG1
25,petrosian_fd_max_rolling_mean_5,0.0052937869913876,ROLLING_MEAN
26,gamma_relative_mean_rolling_mean_5,0.0052754860371351,ROLLING_MEAN
27,wavelet_energy_1_mean_rolling_mean_5,0.0051901335828006,ROLLING_MEAN
28,wavelet_energy_4_max,0.0049930973909795,STATIC
29,theta_relative_mean_rolling_mean_5,0.0048403460532426,ROLLING_MEAN
30,sample_entropy_mean_lag1,0.0047704204916954,LAG1
31,petrosian_fd_mean_lag3,0.0047098300419747,LAG3
32,line_length_max_rolling_mean_5,0.004704634193331,ROLLING_MEAN
33,mad_max_rolling_mean_5,0.0045449649915099,ROLLING_MEAN
34,gamma_relative_std_lag1,0.0045077982358634,LAG1
35,mad_mean_rolling_mean_5,0.0044981371611356,ROLLING_MEAN
36,variance_max_lag1,0.0044979667291045,LAG1
37,gamma_relative_std_lag3,0.0044765691272914,LAG3
38,perm_entropy_max_rolling_mean_5,0.0043504582718014,ROLLING_MEAN
39,wavelet_energy_3_mean,0.0042891893535852,STATIC
40,perm_entropy_max,0.0042716027237474,STATIC
41,zero_crossings_max_lag1,0.004211276769638,LAG1
42,higuchi_fd_std_lag1,0.0041079404763877,LAG1
43,wavelet_energy_3_mean_lag1,0.0040814294479787,LAG1
44,wavelet_energy_4_mean,0.0037712971679866,STATIC
45,gamma_power_mean_rolling_mean_5,0.0036763334646821,ROLLING_MEAN
46,petrosian_fd_mean_rolling_mean_5,0.0036763253156095,ROLLING_MEAN
47,higuchi_fd_std_rolling_mean_5,0.0036265954840928,ROLLING_MEAN
48,higuchi_fd_mean,0.0036021613050252,STATIC
49,higuchi_fd_std_lag3,0.0035782561171799,LAG3
50,theta_relative_mean,0.0034828558564186,STATIC
