smoothing_window,threshold,min_duration,min_peak_probability,true_positive_events,false_positive_events,false_negative_events,total_gt_events,total_predicted_events,precision,recall,f1,balanced_accuracy,mcc,cohen_kappa,alarm_rate,suppression_rate,total_events_before_suppression,suppressed_events,retained_events
3,0.01,1,0.5,14,202,9,23,216,0.064815,0.608696,0.117155,,,,216,0.9685,6857,6641,216
3,0.01,1,0.55,14,167,9,23,181,0.077348,0.608696,0.137255,,,,181,0.9736,6857,6676,181
3,0.01,1,0.6,14,142,9,23,156,0.089744,0.608696,0.156425,,,,156,0.9772,6857,6701,156
3,0.01,1,0.65,14,119,9,23,133,0.105263,0.608696,0.179487,,,,133,0.9806,6857,6724,133
3,0.01,1,0.7,12,104,11,23,116,0.103448,0.521739,0.172662,,,,116,0.9831,6857,6741,116
3,0.01,1,0.75,12,91,11,23,103,0.116505,0.521739,0.190476,,,,103,0.985,6857,6754,103
3,0.01,1,0.8,12,82,11,23,94,0.12766,0.521739,0.205128,,,,94,0.9863,6857,6763,94
3,0.01,1,0.85,12,70,11,23,82,0.146341,0.521739,0.228571,,,,82,0.988,6857,6775,82
3,0.01,1,0.9,12,60,11,23,72,0.166667,0.521739,0.252632,,,,72,0.9895,6857,6785,72
3,0.01,1,0.95,12,44,11,23,56,0.214286,0.521739,0.303797,,,,56,0.9918,6857,6801,56
3,0.01,1,0.99,12,44,11,23,56,0.214286,0.521739,0.303797,,,,56,0.9918,6857,6801,56
3,0.01,2,0.5,14,202,9,23,216,0.064815,0.608696,0.117155,,,,216,0.9685,6857,6641,216
3,0.01,2,0.55,14,167,9,23,181,0.077348,0.608696,0.137255,,,,181,0.9736,6857,6676,181
3,0.01,2,0.6,14,142,9,23,156,0.089744,0.608696,0.156425,,,,156,0.9772,6857,6701,156
3,0.01,2,0.65,14,119,9,23,133,0.105263,0.608696,0.179487,,,,133,0.9806,6857,6724,133
3,0.01,2,0.7,12,104,11,23,116,0.103448,0.521739,0.172662,,,,116,0.9831,6857,6741,116
3,0.01,2,0.75,12,91,11,23,103,0.116505,0.521739,0.190476,,,,103,0.985,6857,6754,103
3,0.01,2,0.8,12,82,11,23,94,0.12766,0.521739,0.205128,,,,94,0.9863,6857,6763,94
3,0.01,2,0.85,12,70,11,23,82,0.146341,0.521739,0.228571,,,,82,0.988,6857,6775,82
3,0.01,2,0.9,12,60,11,23,72,0.166667,0.521739,0.252632,,,,72,0.9895,6857,6785,72
3,0.01,2,0.95,12,44,11,23,56,0.214286,0.521739,0.303797,,,,56,0.9918,6857,6801,56
3,0.01,2,0.99,12,44,11,23,56,0.214286,0.521739,0.303797,,,,56,0.9918,6857,6801,56
3,0.01,3,0.5,14,202,9,23,216,0.064815,0.608696,0.117155,,,,216,0.9685,6857,6641,216
3,0.01,3,0.55,14,167,9,23,181,0.077348,0.608696,0.137255,,,,181,0.9736,6857,6676,181
3,0.01,3,0.6,14,142,9,23,156,0.089744,0.608696,0.156425,,,,156,0.9772,6857,6701,156
3,0.01,3,0.65,14,119,9,23,133,0.105263,0.608696,0.179487,,,,133,0.9806,6857,6724,133
3,0.01,3,0.7,12,104,11,23,116,0.103448,0.521739,0.172662,,,,116,0.9831,6857,6741,116
3,0.01,3,0.75,12,91,11,23,103,0.116505,0.521739,0.190476,,,,103,0.985,6857,6754,103
3,0.01,3,0.8,12,82,11,23,94,0.12766,0.521739,0.205128,,,,94,0.9863,6857,6763,94
3,0.01,3,0.85,12,70,11,23,82,0.146341,0.521739,0.228571,,,,82,0.988,6857,6775,82
3,0.01,3,0.9,12,60,11,23,72,0.166667,0.521739,0.252632,,,,72,0.9895,6857,6785,72
3,0.01,3,0.95,12,44,11,23,56,0.214286,0.521739,0.303797,,,,56,0.9918,6857,6801,56
3,0.01,3,0.99,12,44,11,23,56,0.214286,0.521739,0.303797,,,,56,0.9918,6857,6801,56
3,0.01,5,0.5,14,202,9,23,216,0.064815,0.608696,0.117155,,,,216,0.9685,6857,6641,216
3,0.01,5,0.55,14,167,9,23,181,0.077348,0.608696,0.137255,,,,181,0.9736,6857,6676,181
3,0.01,5,0.6,14,142,9,23,156,0.089744,0.608696,0.156425,,,,156,0.9772,6857,6701,156
3,0.01,5,0.65,14,119,9,23,133,0.105263,0.608696,0.179487,,,,133,0.9806,6857,6724,133
3,0.01,5,0.7,12,104,11,23,116,0.103448,0.521739,0.172662,,,,116,0.9831,6857,6741,116
3,0.01,5,0.75,12,91,11,23,103,0.116505,0.521739,0.190476,,,,103,0.985,6857,6754,103
3,0.01,5,0.8,12,82,11,23,94,0.12766,0.521739,0.205128,,,,94,0.9863,6857,6763,94
3,0.01,5,0.85,12,70,11,23,82,0.146341,0.521739,0.228571,,,,82,0.988,6857,6775,82
3,0.01,5,0.9,12,60,11,23,72,0.166667,0.521739,0.252632,,,,72,0.9895,6857,6785,72
3,0.01,5,0.95,12,44,11,23,56,0.214286,0.521739,0.303797,,,,56,0.9918,6857,6801,56
3,0.01,5,0.99,12,44,11,23,56,0.214286,0.521739,0.303797,,,,56,0.9918,6857,6801,56
3,0.01,7,0.5,14,202,9,23,216,0.064815,0.608696,0.117155,,,,216,0.9685,6857,6641,216
3,0.01,7,0.55,14,167,9,23,181,0.077348,0.608696,0.137255,,,,181,0.9736,6857,6676,181
3,0.01,7,0.6,14,142,9,23,156,0.089744,0.608696,0.156425,,,,156,0.9772,6857,6701,156
3,0.01,7,0.65,14,119,9,23,133,0.105263,0.608696,0.179487,,,,133,0.9806,6857,6724,133
3,0.01,7,0.7,12,104,11,23,116,0.103448,0.521739,0.172662,,,,116,0.9831,6857,6741,116
3,0.01,7,0.75,12,91,11,23,103,0.116505,0.521739,0.190476,,,,103,0.985,6857,6754,103
3,0.01,7,0.8,12,82,11,23,94,0.12766,0.521739,0.205128,,,,94,0.9863,6857,6763,94
3,0.01,7,0.85,12,70,11,23,82,0.146341,0.521739,0.228571,,,,82,0.988,6857,6775,82
3,0.01,7,0.9,12,60,11,23,72,0.166667,0.521739,0.252632,,,,72,0.9895,6857,6785,72
3,0.01,7,0.95,12,44,11,23,56,0.214286,0.521739,0.303797,,,,56,0.9918,6857,6801,56
