method,precision,recall,specificity,balanced_accuracy,f1,mcc,kappa
original,0.0070474543319909615,0.9850022055580062,0.0693315032672005,0.5271668544126034,0.013994779376972227,0.017441619306037215,0.000777103246321742
smooth_3,0.00695744337973695,0.9902955447728276,0.05213913629949979,0.5212173405361636,0.013817808046334281,0.015567203017200536,0.000596041553384774
smooth_5,0.006942307455595082,0.9951477723864137,0.045403585785829016,0.5202756790861214,0.013788424690814746,0.0158895975399822,0.0005656060315665234
smooth_7,0.0069203516518511945,0.9969122187913542,0.04065586572678572,0.5187840422590699,0.013745286461501034,0.015519670624767317,0.0005214319983122273
majority_3,0.043435858964741184,0.25540361711513015,0.9622815087396505,0.6088425629273904,0.074245047124447,0.09127766363419869,0.06358283342650695
majority_5,0.047307786583871234,0.25540361711513015,0.9655087751473864,0.6104561961312582,0.07982903626085758,0.0965105188438824,0.06936823204657949
consecutive_2,0.007204681412899966,0.9748566387295986,0.0991607924107473,0.5370087155701729,0.014303651638124085,0.020189804308474685,0.001093249621368142
consecutive_3,0.007327966622984141,0.9669166299073666,0.12163925018561958,0.5442779400464931,0.0145456958476418,0.022084220352810865,0.001341037570778636
min_duration_10,0.007454262556822227,0.9700044111160123,0.1338738733408863,0.5519391422284493,0.01479483021939946,0.024869457803360206,0.0015949185228080198
min_duration_20,0.007847671351663836,0.9580943978826643,0.18771686431578108,0.5729056310992227,0.015567827922461896,0.030435528278074175,0.0023849832133309157
