edf,seizure_present,predicted_present,tp,fp,fn,tn,samples,seizure_samples,precision,recall,specificity,f1
chb07_01.edf,0,1,0,1,0,0,7201,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_02.edf,0,1,0,1,0,0,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_03.edf,0,0,0,0,0,1,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_04.edf,0,1,0,1,0,0,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_05.edf,0,1,0,1,0,0,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_06.edf,0,0,0,0,0,1,2455,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_07.edf,0,1,0,1,0,0,2325,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_08.edf,0,1,0,1,0,0,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_09.edf,0,1,0,1,0,0,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_10.edf,0,1,0,1,0,0,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_11.edf,0,1,0,1,0,0,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_12.edf,1,1,1,0,0,0,7195,46,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_13.edf,1,1,1,0,0,0,1858,50,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_14.edf,0,1,0,1,0,0,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_15.edf,0,1,0,1,0,0,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_16.edf,0,1,0,1,0,0,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_17.edf,0,1,0,1,0,0,7195,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_18.edf,0,1,0,1,0,0,6025,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb07_19.edf,1,1,1,0,0,0,7201,74,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_02.edf,1,1,1,0,0,0,1795,88,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_03.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_04.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_05.edf,1,1,1,0,0,0,1795,98,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_10.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_11.edf,1,1,1,0,0,0,1795,70,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_12.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_13.edf,1,1,1,0,0,0,1795,82,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_14.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_15.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_16.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_17.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_18.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_19.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_20.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_21.edf,1,1,1,0,0,0,1795,134,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_22.edf,0,0,0,0,0,1,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
chb08_23.edf,0,1,0,1,0,0,1795,0,0.19047619047619047,0.5161290322580645,0.39285714285714285,0.27826086956521734
