min_peak_probability,smoothing_window,threshold,min_duration,tp,fp,fn,total_gt_events,total_predicted_events,precision,recall,f1,patient_recall,suppression_rate,false_alarm_rate,ground_truth_coverage
0.5,21,0.01,1,12,46,11,23,58,0.206897,0.521739,0.296296,0.6,0.15942,58,0.521739
0.55,21,0.01,1,12,37,11,23,49,0.244898,0.521739,0.333333,0.6,0.183333,49,0.521739
0.6,21,0.01,1,11,30,12,23,41,0.268293,0.478261,0.34375,0.533333,0.226415,41,0.478261
0.65,21,0.01,1,11,21,12,23,32,0.34375,0.478261,0.4,0.533333,0.272727,32,0.478261
0.7,21,0.01,1,11,14,12,23,25,0.44,0.478261,0.458333,0.533333,0.324324,25,0.478261
0.75,21,0.01,1,11,11,12,23,22,0.5,0.478261,0.488889,0.533333,0.352941,22,0.478261
0.8,21,0.01,1,11,9,12,23,20,0.55,0.478261,0.511628,0.533333,0.375,20,0.478261
0.85,21,0.01,1,9,6,14,23,15,0.6,0.391304,0.473684,0.4,0.482759,15,0.391304
0.9,21,0.01,1,9,2,14,23,11,0.818182,0.391304,0.529412,0.4,0.56,11,0.391304
0.95,21,0.01,1,9,1,14,23,10,0.9,0.391304,0.545455,0.4,0.583333,10,0.391304
