feature,ks_statistic,p_value,tp_mean,fp_mean,divergence_score
f374_q75,0.7625812856788285,1.7292335676998138e-30,0.49076536297798157,0.28486186265945435,0.20590350031852722
f374_mean,0.7098337056341524,1.177020539029031e-25,0.46415841579437256,0.2786734104156494,0.18548500537872314
f269_q75,0.7060610573343261,2.4642306031644497e-25,0.5142312049865723,0.29235541820526123,0.22187578678131104
f268_q75,0.6953785058327129,1.8858950877784787e-24,0.5094470381736755,0.30101799964904785,0.20842903852462769
f374_q50,0.69427649540829,2.2975607753543326e-24,0.4635048806667328,0.2785772383213043,0.18492764234542847
f372_q75,0.6788086373790022,3.909080320617388e-23,0.20012016594409943,0.09979395568370819,0.10032621026039124
f265_q50,0.6756316703896749,6.918921887652193e-23,0.18511374294757843,0.09208061546087265,0.09303312748670578
f265_mean,0.6751253412757509,7.569339377829854e-23,0.1884291172027588,0.09337662160396576,0.09505249559879303
f86_q75,0.6717200297840655,1.375262782965759e-22,0.49810731410980225,0.30010518431663513,0.19800212979316711
f265_q75,0.6665673864482502,3.363219294544974e-22,0.2117299884557724,0.10072163492441177,0.11100835353136063
f269_mean,0.658644825018615,1.3192085815913593e-21,0.46978044509887695,0.2749289870262146,0.19485145807266235
f372_q50,0.6499478778853314,5.664455539093902e-21,0.18463030457496643,0.0968703106045723,0.08775999397039413
f372_mean,0.6499478778853314,5.664455539093902e-21,0.1849110722541809,0.09686070680618286,0.08805036544799805
f373_q75,0.6470488955075702,9.115049804466072e-21,0.13278765976428986,0.07876135408878326,0.05402630567550659
f267_q75,0.6337453462397618,7.875487998442575e-20,0.14157356321811676,0.08099323511123657,0.06058032810688019
f268_mean,0.6330106726234798,8.801616052284059e-20,0.46863266825675964,0.2837660312652588,0.18486663699150085
f268_q50,0.6294663688260114,1.5413550535000125e-19,0.46381711959838867,0.28229111433029175,0.18152600526809692
f269_q50,0.6246810622983371,3.252606879235407e-19,0.4677904546260834,0.2727445960044861,0.1950458586215973
f264_q75,0.6192007942417473,7.611267292134866e-19,0.2084438055753708,0.10824989527463913,0.10019391030073166
f265_q25,0.6151104492429883,1.4114725441006774e-18,0.16393564641475677,0.085184246301651,0.07875140011310577
f374_q25,0.61331347728965,1.85674120310606e-18,0.438589483499527,0.2725919187068939,0.16599756479263306
f264_mean,0.6094415487714073,3.3394436219993594e-18,0.18699203431606293,0.10080529004335403,0.08618674427270889
f264_q50,0.6043782576321668,7.082114103301606e-18,0.1850985586643219,0.09983426332473755,0.08526429533958435
f86_mean,0.6030876147927525,8.554605403378123e-18,0.45645391941070557,0.2830275297164917,0.17342638969421387
f266_q75,0.5996823033010673,1.4098393999546496e-17,0.13598555326461792,0.0829191654920578,0.05306638777256012
f269_q25,0.5931496649292628,3.6092304293105874e-17,0.4243796169757843,0.25590386986732483,0.16847574710845947
f38_q75,0.5919980143956317,4.264488936906771e-17,2.534930467605591,2.4797356128692627,0.055194854736328125
f47_q75,0.5888210474063043,6.716205791534695e-17,1.0297490358352661,1.026700735092163,0.0030483007431030273
f238_q75,0.5854554480019856,1.0742365722356255e-16,1.7542070018805589e-09,6.240508665378286e-10,1.1301561353427303e-09
f47_mean,0.5847704144949118,1.1895431334821177e-16,1.029113531112671,1.026500940322876,0.002612590789794922
f85_q75,0.5846314221891288,1.2136731263647992e-16,0.13257953524589539,0.08131864666938782,0.05126088857650757
f38_q50,0.5825167535368578,1.6257097716538115e-16,2.525818109512329,2.4753997325897217,0.05041837692260742
f236_q50,0.5810374782824522,1.994894717648629e-16,2.854442793243095e-10,1.3866351122882037e-10,1.4678076809548912e-10
f198_q75,0.5803028046661702,2.2162167413128461e-16,8.35759067285835e-07,3.954960448027123e-07,4.4026302248312277e-07
f200_q25,0.5797964755522462,2.3774247060894495e-16,5.873877171325148e-07,3.364537235484022e-07,2.509339935841126e-07
f372_q25,0.5784661206254654,2.8540275299898377e-16,0.1703997105360031,0.09400875866413116,0.07639095187187195
f236_mean,0.5782774882104741,2.9333037903680967e-16,3.333470444122355e-10,1.473476063384993e-10,1.859994380737362e-10
f200_q75,0.577999503598908,3.038583327413258e-16,1.1667179933283478e-06,4.58855311080697e-07,7.078626822476508e-07
f202_mean,0.5768478530652767,3.557363691094721e-16,3.6491678656602744e-06,1.5023034620753606e-06,2.146864403584914e-06
f200_q50,0.5766195085629189,3.680169653761757e-16,7.978468943292683e-07,3.9320434552791994e-07,4.046425488013483e-07
f238_mean,0.5753288657235046,4.382627600448304e-16,1.3883970639838594e-09,5.476326614406446e-10,8.407644025432148e-10
f238_q50,0.5749615289153636,4.613492252672258e-16,1.1934155885739983e-09,5.132552716169414e-10,6.801603169570569e-10
f47_q50,0.574415487714073,4.981765653061523e-16,1.0290369987487793,1.0264867544174194,0.0025502443313598633
f202_q75,0.5727078679573095,6.294574229565969e-16,4.631501269614091e-06,1.7067047792806989e-06,2.9247964903333923e-06
f200_mean,0.5710498883097542,7.872499161510621e-16,9.018161222229537e-07,4.035229324017564e-07,4.982931898211973e-07
f359_q75,0.5707719036981881,8.156154541548108e-16,1.5631604899368767e-09,5.543706604882459e-10,1.0087898294486308e-09
f38_mean,0.5705931993050385,8.404279057918499e-16,2.52492356300354,2.475250720977783,0.049672842025756836
f236_q25,0.5705435591958302,8.431517063001634e-16,2.069939220028516e-10,1.1611429179270161e-10,9.087963021015e-11
f359_mean,0.5702655745842641,8.735088991059547e-16,1.2470358079497146e-09,5.130779134887575e-10,7.33957894460957e-10
f236_q75,0.5686572350459171,1.0895026755255133e-15,4.180587265256719e-10,1.6772819244614823e-10,2.5033053407952366e-10
f339_q75,0.567138247704145,1.3364447982680636e-15,8.058319167503214e-07,3.6073103615308355e-07,4.4510088059723785e-07
f239_q25,0.5651129312484487,1.7527526212724648e-15,8.365903525486829e-10,3.7086717030732075e-10,4.657231822413621e-10
f201_q25,0.5648349466368826,1.814012613447902e-15,5.680020649379003e-07,3.0676372375637584e-07,2.6123834118152445e-07
f198_mean,0.5647455944403078,1.8433227438293088e-15,6.842014386165829e-07,3.5248561403022904e-07,3.3171582458635385e-07
f238_q25,0.5646066021345247,1.875293160102649e-15,8.966393183484911e-10,4.2923162246744084e-10,4.674076958810502e-10
f234_mean,0.5641002730206006,2.006227900735605e-15,2.4045307411846295e-10,1.2405304561369235e-10,1.164000285047706e-10
f202_q25,0.5629486224869694,2.334919415067105e-15,2.402757672825828e-06,1.2556566844068584e-06,1.1471009884189698e-06
f86_q50,0.5626309257880368,2.4426508209603887e-15,0.4533578157424927,0.2815718352794647,0.17178598046302795
f71_q50,0.5617969719533383,2.7169907825619424e-15,9.330544115115913e-10,5.707032069146578e-10,3.623512045969335e-10
f198_q50,0.5617076197567634,2.760376968891184e-15,6.402086683010566e-07,3.492416169592616e-07,2.90967051341795e-07
f202_q50,0.5612906428394142,2.9053552287327167e-15,3.3353455819451483e-06,1.4632577176598716e-06,1.8720878642852767e-06
f237_q25,0.5609233060312733,3.053610573719466e-15,2.0182355786602102e-10,1.0194139282715398e-10,9.988216503886704e-11
f339_q50,0.5601886324149913,3.3740295793099942e-15,6.64734670863254e-07,3.35017119823533e-07,3.29717551039721e-07
f358_q75,0.559632663191859,3.614108955514074e-15,3.8378922262438664e-10,1.504776303562494e-10,2.3331159226813725e-10
f359_q50,0.5592653263837181,3.795535920463301e-15,1.138704130987378e-09,5.132058111811943e-10,6.254983198061836e-10
f201_mean,0.559126334077935,3.863311822957508e-15,8.866514917826862e-07,3.654518252460548e-07,5.211996665366314e-07
f339_mean,0.5581633159592951,4.404236937730784e-15,6.740880280631245e-07,3.3488947792648105e-07,3.3919855013664346e-07
f52_q50,0.5580243236535121,4.479292179482727e-15,7.205055112535774e-07,4.2554626134005957e-07,2.9495924991351785e-07
f341_q75,0.557656986845371,4.706616037559368e-15,4.255741259839851e-06,1.5463663203263422e-06,2.709374939513509e-06
f70_q25,0.5567336808140978,5.29097035614628e-15,1.570460428368392e-10,1.3351918182191724e-10,2.3526861014921963e-11
