feature,mean_ks,max_ks,patient_count,stability_score
alpha_power_max,0.2363788,0.296331,5,0.7636212
alpha_power_max_lag1,0.24296639999999997,0.297688,5,0.7570336
alpha_power_max_lag3,0.2421262,0.28945,5,0.7578738
alpha_power_max_rolling_mean_5,0.269584,0.303103,5,0.730416
alpha_power_max_stability_5,0.1696812,0.201989,5,0.8303188
alpha_power_mean,0.22941479999999997,0.410604,5,0.7705852
alpha_power_mean_lag1,0.22947920000000002,0.413163,5,0.7705208
alpha_power_mean_lag3,0.2295832,0.406307,5,0.7704168
alpha_power_mean_rolling_mean_5,0.2501978,0.406985,5,0.7498022
alpha_power_mean_stability_5,0.13388640000000002,0.188234,5,0.8661136
alpha_power_std,0.23800600000000002,0.265426,5,0.761994
alpha_power_std_lag1,0.23461860000000004,0.273625,5,0.7653814
alpha_power_std_lag3,0.23182460000000002,0.278902,5,0.7681754
alpha_power_std_rolling_mean_5,0.260619,0.299796,5,0.7393810000000001
alpha_power_std_stability_5,0.1722788,0.205215,5,0.8277212
alpha_relative_max,0.2141584,0.422628,5,0.7858416
alpha_relative_max_lag1,0.2153944,0.428299,5,0.7846056
alpha_relative_max_lag3,0.2153272,0.430742,5,0.7846728000000001
alpha_relative_max_rolling_mean_5,0.2583288,0.49684,5,0.7416712
alpha_relative_max_stability_5,0.1066888,0.198497,5,0.8933112
alpha_relative_mean,0.2789984,0.380183,5,0.7210016
alpha_relative_mean_lag1,0.275729,0.374652,5,0.724271
alpha_relative_mean_lag3,0.2792136,0.382513,5,0.7207863999999999
alpha_relative_mean_rolling_mean_5,0.3148566,0.398342,5,0.6851434000000001
alpha_relative_mean_stability_5,0.1229322,0.226183,5,0.8770678
alpha_relative_std,0.23350100000000001,0.460968,5,0.766499
alpha_relative_std_lag1,0.23173059999999998,0.460214,5,0.7682694
alpha_relative_std_lag3,0.23360379999999997,0.463398,5,0.7663962
alpha_relative_std_rolling_mean_5,0.28105820000000004,0.529882,5,0.7189418
alpha_relative_std_stability_5,0.12100340000000001,0.220261,5,0.8789966
beta_power_max,0.25835179999999996,0.448779,5,0.7416482
beta_power_max_lag1,0.2557852,0.450301,5,0.7442148
beta_power_max_lag3,0.2554174,0.442,5,0.7445826
beta_power_max_rolling_mean_5,0.2780066,0.492151,5,0.7219934
beta_power_max_stability_5,0.1857996,0.358054,5,0.8142004
beta_power_mean,0.2471832,0.480592,5,0.7528168
beta_power_mean_lag1,0.24831240000000002,0.464634,5,0.7516876
beta_power_mean_lag3,0.2466494,0.480199,5,0.7533506
beta_power_mean_rolling_mean_5,0.26810039999999996,0.452055,5,0.7318996
beta_power_mean_stability_5,0.14627079999999998,0.254165,5,0.8537292000000001
beta_power_std,0.246377,0.443908,5,0.7536229999999999
beta_power_std_lag1,0.24725000000000003,0.454022,5,0.75275
beta_power_std_lag3,0.2479768,0.448764,5,0.7520232
beta_power_std_rolling_mean_5,0.26762600000000003,0.490773,5,0.732374
beta_power_std_stability_5,0.172123,0.354619,5,0.827877
beta_relative_max,0.32470600000000005,0.632302,5,0.675294
beta_relative_max_lag1,0.3251814,0.632421,5,0.6748186
beta_relative_max_lag3,0.32329240000000004,0.637283,5,0.6767076
beta_relative_max_rolling_mean_5,0.3602544,0.684793,5,0.6397456
beta_relative_max_stability_5,0.1166634,0.268426,5,0.8833366
beta_relative_mean,0.27967960000000003,0.465063,5,0.7203204
beta_relative_mean_lag1,0.2802844,0.4619,5,0.7197156
beta_relative_mean_lag3,0.2809686,0.470266,5,0.7190314
beta_relative_mean_rolling_mean_5,0.3026556,0.484651,5,0.6973444
beta_relative_mean_stability_5,0.1313488,0.280463,5,0.8686512
beta_relative_std,0.31022059999999996,0.569964,5,0.6897794
beta_relative_std_lag1,0.31024440000000003,0.565414,5,0.6897556
beta_relative_std_lag3,0.30930739999999995,0.573915,5,0.6906926
beta_relative_std_rolling_mean_5,0.3388694,0.598678,5,0.6611306
beta_relative_std_stability_5,0.11198699999999999,0.31476,5,0.888013
delta_power_max,0.22809680000000002,0.380507,5,0.7719032
delta_power_max_lag1,0.2296262,0.385894,5,0.7703738
delta_power_max_lag3,0.2280056,0.388936,5,0.7719944
delta_power_max_rolling_mean_5,0.251029,0.398463,5,0.748971
delta_power_max_stability_5,0.15143420000000002,0.204398,5,0.8485658
delta_power_mean,0.2616004,0.473285,5,0.7383995999999999
delta_power_mean_lag1,0.2655484,0.477841,5,0.7344516
delta_power_mean_lag3,0.26055039999999996,0.472993,5,0.7394496
delta_power_mean_rolling_mean_5,0.2850256,0.509947,5,0.7149744
delta_power_mean_stability_5,0.163831,0.250393,5,0.8361689999999999
delta_power_std,0.22970959999999999,0.388399,5,0.7702904
delta_power_std_lag1,0.22794920000000002,0.383622,5,0.7720507999999999
delta_power_std_lag3,0.230246,0.393127,5,0.769754
delta_power_std_rolling_mean_5,0.24925239999999999,0.376983,5,0.7507476
delta_power_std_stability_5,0.1531092,0.202162,5,0.8468907999999999
delta_relative_max,0.2851656,0.466528,5,0.7148344
delta_relative_max_lag1,0.2860298,0.468944,5,0.7139702
delta_relative_max_lag3,0.282552,0.459464,5,0.717448
delta_relative_max_rolling_mean_5,0.3722222,0.637197,5,0.6277778
delta_relative_max_stability_5,0.1936536,0.353652,5,0.8063464
delta_relative_mean,0.3590176,0.698255,5,0.6409824
delta_relative_mean_lag1,0.3632792,0.699284,5,0.6367208
delta_relative_mean_lag3,0.36023679999999997,0.697319,5,0.6397632
delta_relative_mean_rolling_mean_5,0.4072112,0.783488,5,0.5927888
delta_relative_mean_stability_5,0.11050580000000002,0.193153,5,0.8894942
delta_relative_std,0.275589,0.360914,5,0.724411
delta_relative_std_lag1,0.2734314,0.3545,5,0.7265686
delta_relative_std_lag3,0.2749244,0.362329,5,0.7250756
delta_relative_std_rolling_mean_5,0.3311018,0.430448,5,0.6688982
delta_relative_std_stability_5,0.1563252,0.224256,5,0.8436748000000001
elapsed_time_fraction,0.00785,0.008447,5,0.99215
gamma_power_max,0.2568948,0.506918,5,0.7431052
gamma_power_max_lag1,0.2576474,0.502947,5,0.7423526
gamma_power_max_lag3,0.2596408,0.507283,5,0.7403592
gamma_power_max_rolling_mean_5,0.2628042,0.493512,5,0.7371958000000001
gamma_power_max_stability_5,0.2196224,0.393179,5,0.7803776
gamma_power_mean,0.23255900000000002,0.454252,5,0.767441
