feature,generalization_score,stability_score,patient_consistency_score
theta_power_mean_rolling_mean_5,0.561115,0.20530700000000002,0.383211
wavelet_energy_1_mean_rolling_mean_5,0.565104,0.220997,0.3930505
theta_power_mean,0.5768800000000001,0.23299599999999998,0.404938
theta_power_mean_lag1,0.576886,0.23299599999999998,0.404941
wavelet_energy_1_mean,0.572731,0.23697900000000005,0.404855
wavelet_energy_1_mean_lag1,0.572728,0.23697900000000005,0.40485350000000003
theta_power_mean_lag3,0.576919,0.253544,0.4152315
wavelet_energy_1_mean_lag3,0.572738,0.262093,0.4174155
alpha_power_mean,0.7206,0.27052200000000004,0.49556100000000003
alpha_power_mean_lag1,0.7206170000000001,0.27052200000000004,0.49556950000000005
alpha_power_mean_rolling_mean_5,0.710988,0.27479600000000004,0.492892
theta_power_max_rolling_mean_5,0.623254,0.277663,0.4504585
std_mean_lag1,0.779177,0.280238,0.5297075
std_mean,0.779161,0.280238,0.5296995
rms_mean,0.78042,0.281234,0.5308269999999999
rms_mean_lag1,0.78043,0.281234,0.530832
max_mean_lag1,0.806739,0.28322499999999995,0.544982
max_mean,0.806717,0.28322499999999995,0.544971
variance_mean_rolling_mean_5,0.815847,0.283809,0.549828
ptp_mean_lag1,0.785343,0.28580000000000005,0.5355715000000001
ptp_mean,0.785316,0.28580000000000005,0.535558
rms_mean_rolling_mean_5,0.791347,0.287671,0.539509
std_mean_rolling_mean_5,0.790287,0.287671,0.538979
wavelet_energy_2_mean_rolling_mean_5,0.5903689999999999,0.288667,0.43951799999999996
alpha_power_mean_lag3,0.720758,0.288787,0.5047725000000001
variance_mean_lag1,0.794109,0.29007400000000005,0.5420915
variance_mean,0.794076,0.29007400000000005,0.5420750000000001
max_mean_rolling_mean_5,0.82234,0.29165399999999997,0.556997
wavelet_energy_2_mean,0.590962,0.29376500000000005,0.4423635
wavelet_energy_2_mean_lag1,0.5910150000000001,0.29376500000000005,0.44239000000000006
alpha_power_max_rolling_mean_5,0.73681,0.29446799999999995,0.515639
ptp_mean_rolling_mean_5,0.801852,0.298211,0.5500315
wavelet_energy_1_max_rolling_mean_5,0.642968,0.30313599999999996,0.473052
alpha_power_max_lag1,0.7478480000000001,0.30313599999999996,0.5254920000000001
min_mean,0.7600899999999999,0.30318900000000004,0.5316395
alpha_power_max,0.747823,0.306415,0.527119
wavelet_energy_2_mean_lag3,0.5911310000000001,0.30746300000000004,0.44929700000000006
min_mean_lag1,0.760113,0.307755,0.533934
iqr_mean_rolling_mean_5,0.726601,0.30833900000000003,0.5174700000000001
min_mean_rolling_mean_5,0.778233,0.31103400000000003,0.5446335
std_mean_lag3,0.779199,0.312202,0.5457004999999999
min_max_rolling_mean_5,0.603918,0.31244099999999997,0.45817949999999996
rms_mean_lag3,0.780446,0.31319699999999995,0.5468215
theta_power_max_lag1,0.6212409999999999,0.31355599999999995,0.46739849999999994
theta_power_std_rolling_mean_5,0.624977,0.314021,0.469499
iqr_mean,0.7216640000000001,0.314485,0.5180745
iqr_mean_lag1,0.721635,0.314485,0.51806
mad_mean_rolling_mean_5,0.7234959999999999,0.315188,0.519342
max_mean_lag3,0.80675,0.31577200000000005,0.561261
rms_max,0.827485,0.31671499999999997,0.5721
ptp_mean_lag3,0.785372,0.31676800000000005,0.55107
mad_mean,0.7185900000000001,0.31676800000000005,0.517679
mad_mean_lag1,0.718556,0.31676800000000005,0.5176620000000001
theta_power_max,0.621221,0.316835,0.469028
wavelet_energy_2_max_lag1,0.605362,0.316955,0.46115849999999997
wavelet_energy_2_max,0.605327,0.316955,0.46114099999999997
rms_max_rolling_mean_5,0.838017,0.317883,0.57795
std_max_rolling_mean_5,0.837541,0.317883,0.577712
alpha_power_max_lag3,0.747897,0.31812300000000004,0.53301
variance_max,0.826724,0.318998,0.5728610000000001
std_max,0.826724,0.318998,0.5728610000000001
variance_max_rolling_mean_5,0.845206,0.319874,0.5825400000000001
rms_max_lag1,0.8275,0.32128199999999996,0.574391
variance_mean_lag3,0.7941670000000001,0.32203800000000005,0.5581025000000001
wavelet_energy_2_max_rolling_mean_5,0.595253,0.32239700000000004,0.45882500000000004
std_max_lag1,0.826741,0.323565,0.575153
variance_max_lag1,0.826741,0.323565,0.575153
alpha_power_std_lag1,0.762312,0.32667100000000004,0.5444915
alpha_power_std_rolling_mean_5,0.750868,0.328303,0.5395855
max_max,0.804738,0.32883399999999996,0.566786
variance_std_rolling_mean_5,0.863286,0.329299,0.5962925
alpha_power_std,0.762293,0.32994999999999997,0.5461214999999999
wavelet_energy_2_max_lag3,0.6054379999999999,0.33024200000000004,0.46784
wavelet_energy_2_mean_stability_5,0.870674,0.33164899999999997,0.6011614999999999
theta_power_max_lag3,0.621273,0.33182100000000003,0.476547
iqr_mean_lag3,0.7216389999999999,0.33274899999999996,0.5271939999999999
max_max_lag1,0.804775,0.33340099999999995,0.569088
variance_std,0.849182,0.333693,0.5914375000000001
variance_std_lag1,0.849187,0.333985,0.591586
