subsample,scale_pos_weight,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,val_f1
0.8,448.5,300,8,4,0.01438449888287663,0.2,0.9,0.2241
1.0,448.5,300,1,7,0.0069519279617756054,0.1,1.0,0.2209
1.0,598.0,500,4,10,0.00545559478116852,0.5,0.9,0.2192
1.0,448.5,500,3,9,0.00545559478116852,0.1,0.9,0.2159
1.0,448.5,500,10,10,0.004281332398719396,0.5,0.9,0.2096
0.7,299.0,400,8,10,0.004281332398719396,0.05,0.8,0.2043
0.8,448.5,600,3,5,0.0069519279617756054,0.1,0.6,0.204
0.9,299.0,300,2,4,0.1,0.0,0.6,0.1851
0.6,299.0,400,10,3,0.00545559478116852,0.05,0.7,0.1827
0.7,598.0,200,1,9,0.004281332398719396,0.0,0.9,0.1818
1.0,448.5,200,3,9,0.04832930238571752,0.1,0.6,0.1793
0.9,448.5,300,1,10,0.023357214690901212,0.5,0.8,0.1778
0.6,448.5,400,10,5,0.001623776739188721,0.1,0.8,0.1695
0.8,448.5,500,8,4,0.1,0.0,0.8,0.1659
0.8,598.0,800,8,7,0.001,0.5,1.0,0.1639
0.9,598.0,200,5,10,0.04832930238571752,0.0,0.9,0.1588
0.9,598.0,200,6,6,0.06158482110660261,0.05,0.7,0.1588
0.7,598.0,600,3,4,0.04832930238571752,0.5,0.9,0.156
0.6,598.0,600,1,5,0.003359818286283781,0.5,0.9,0.1552
0.6,598.0,300,4,10,0.06158482110660261,0.05,0.8,0.1538
0.7,299.0,600,3,8,0.04832930238571752,0.05,0.7,0.1527
0.7,448.5,600,2,9,0.01438449888287663,0.2,0.7,0.149
0.6,598.0,500,4,4,0.06158482110660261,0.1,0.6,0.1475
0.6,598.0,400,6,3,0.008858667904100823,0.0,1.0,0.1467
1.0,299.0,200,10,4,0.06158482110660261,0.5,0.7,0.1444
0.6,448.5,400,5,10,0.06158482110660261,0.0,0.6,0.1429
0.7,299.0,500,5,7,0.018329807108324356,0.2,0.8,0.1365
0.7,598.0,600,1,5,0.0379269019073225,0.0,0.8,0.1341
0.6,448.5,400,1,7,0.029763514416313176,0.5,0.9,0.1288
0.6,448.5,600,3,5,0.0379269019073225,0.1,0.8,0.11
