feature,mean_rank,rank_std,mean_importance,importance_std,top_20_frequency
iqr_mean_lag1__rel,4.6,3.1368774282716245,0.019292075,0.005012195,1.0
wavelet_energy_1_mean_lag3__rel,6.8,9.17387595294377,0.019944616,0.0064082546,0.8
min_max_lag1__rel,9.4,7.031358332498779,0.017178029,0.00793883,1.0
theta_relative_mean_rolling_mean_5__rel,9.6,2.244994432064365,0.012208612,0.0015421457,1.0
wavelet_energy_0_mean_lag1__rel,9.6,6.6211781428987395,0.015116893,0.0059163403,1.0
delta_power_max_lag1__rel,12.8,8.009993757800315,0.011334547,0.0029691446,0.8
theta_relative_mean_rolling_mean_5,13.2,8.304215796810679,0.011399541,0.002945781,0.8
alpha_relative_mean_rolling_mean_5__rel,13.4,2.727636339397171,0.0107580405,0.0012370379,1.0
theta_relative_max_rolling_mean_5__rel,14.4,3.9799497484264794,0.010198035,0.00088787405,0.8
delta_power_max__rel,15.6,13.455110553243328,0.012084139,0.0042622723,0.8
wavelet_energy_1_mean_rolling_mean_5__rel,21.6,22.597344976788754,0.010590034,0.0031999175,0.8
zero_crossings_mean,22.6,14.705101155721438,0.009556079,0.0030706807,0.4
iqr_mean__rel,24.4,13.661625086350453,0.01002706,0.0046252734,0.4
beta_power_max__rel,29.0,11.661903789690601,0.007771866,0.0015250342,0.2
line_length_max_lag1__rel,37.2,17.417232845661793,0.0070452066,0.0012564884,0.2
delta_relative_std_rolling_mean_5__rel,37.2,18.519179247472064,0.00745894,0.0023044008,0.2
min_max__rel,37.6,35.958865388107014,0.009449315,0.0050907726,0.4
delta_power_mean_rolling_mean_5__rel,37.8,18.529975715040752,0.0070065088,0.0013923288,0.2
mad_mean_lag3__rel,40.2,33.36704961485208,0.00800695,0.0030266028,0.4
theta_relative_mean,40.8,10.007996802557443,0.006415727,0.0009823372,0.0
zero_crossings_max,41.4,17.46539435569664,0.0068020476,0.0015362991,0.2
alpha_relative_mean__rel,42.0,20.54263858417414,0.0066126673,0.0013752007,0.2
gamma_relative_mean,42.2,11.93984924527944,0.0062797153,0.0006315349,0.0
wavelet_energy_0_max_lag3__rel,42.4,36.07547643483035,0.010230656,0.007323444,0.4
wavelet_energy_3_max__rel,43.0,25.25866188063018,0.008067191,0.0044307224,0.2
delta_relative_std,43.2,30.9088983951224,0.0070635104,0.0023801315,0.2
perm_entropy_mean,43.6,17.647662734764623,0.006524612,0.0013929841,0.2
alpha_power_mean_lag1__rel,45.8,51.30068225667179,0.018233117,0.014590899,0.6
delta_relative_mean__rel,48.0,11.009087155618309,0.006060562,0.0005458822,0.0
theta_power_max__rel,48.4,26.904274753280376,0.0067355842,0.0022990908,0.2
delta_power_mean_lag3__rel,49.6,20.62619693496598,0.006420472,0.0016410999,0.2
delta_relative_std_rolling_mean_5,50.2,30.973537092169504,0.0062243184,0.0015167387,0.0
zero_crossings_std_lag3,50.8,30.248305737677278,0.0063849264,0.0018337903,0.2
gamma_relative_std_rolling_mean_5,52.8,9.826494797230596,0.005812075,0.00059218064,0.0
delta_relative_mean_rolling_mean_5__rel,54.0,43.85430423573039,0.0065221554,0.0021053343,0.2
gamma_relative_std,55.2,17.56587601003719,0.0057572997,0.00083982025,0.0
gamma_relative_std_lag1,55.4,32.87308929808697,0.0059030596,0.0014021539,0.0
theta_relative_mean_lag1,55.6,51.476596624097056,0.0073513985,0.003815258,0.2
alpha_power_max_lag3__rel,56.2,59.050486873522054,0.00781252,0.0037161135,0.4
spectral_entropy_max_lag1,60.8,7.166589146867567,0.0053140027,0.0004143349,0.0
delta_relative_mean_rolling_mean_5,61.4,14.759403781996074,0.0053537088,0.0006656323,0.0
delta_relative_mean_lag1,62.2,38.12820478333592,0.0056285653,0.0015121509,0.0
beta_relative_mean,62.2,32.633724886993825,0.005644665,0.0017213952,0.0
theta_power_mean_lag1__rel,63.8,23.61694307060082,0.00542098,0.00090820563,0.0
petrosian_fd_std_lag1,64.8,49.527366172652464,0.005593092,0.0018051189,0.0
delta_relative_max_rolling_mean_5__rel,65.0,69.33108970728789,0.0064661116,0.0028760922,0.4
gamma_relative_mean_rolling_mean_5,65.2,30.3539124331609,0.0053291833,0.0011865555,0.0
delta_relative_std__rel,65.4,20.962824237206206,0.0051581785,0.0008572077,0.0
perm_entropy_mean__rel,68.6,16.25546062097288,0.005131698,0.00081317034,0.0
beta_relative_mean_lag1,69.8,30.837639338963676,0.005374356,0.0017126093,0.0
higuchi_fd_mean_lag3__rel,70.8,41.57595458916127,0.0055021434,0.0018641539,0.0
beta_power_mean_lag1__rel,71.8,53.57014093690626,0.0056583257,0.0019509736,0.0
wavelet_energy_1_mean_lag1__rel,74.2,82.95878494770763,0.008909401,0.006797096,0.6
theta_relative_mean__rel,74.8,40.57782645731533,0.0052462406,0.0020219644,0.2
sample_entropy_std_lag3,77.8,32.553955212846255,0.0047802683,0.0010134901,0.0
petrosian_fd_std_lag3__rel,79.2,32.19565188033937,0.004910335,0.0014956191,0.0
wavelet_energy_5_mean_lag3__rel,80.0,48.604526538173374,0.0051641134,0.0019659481,0.0
petrosian_fd_std_lag3,80.2,63.88552261663044,0.005421693,0.0026013912,0.2
sample_entropy_mean_lag1,80.4,36.47245536017557,0.004782184,0.0012732354,0.0
wavelet_energy_2_max_lag3__rel,80.6,38.317619967842475,0.0049210233,0.0013794467,0.0
spectral_entropy_max_lag3,81.2,45.51219616762083,0.005389206,0.0024030667,0.2
perm_entropy_std_lag3__rel,82.6,36.280022050709945,0.004665356,0.0013973801,0.0
ptp_max_lag3__rel,82.8,55.54601695891434,0.005132116,0.0024151711,0.2
beta_relative_max_lag3__rel,83.0,51.182028095807226,0.0051362864,0.0022746245,0.2
delta_power_max_lag3__rel,83.0,54.0740233383831,0.0057798596,0.0032543857,0.2
alpha_power_mean__rel,83.0,57.89300475877893,0.007139196,0.005927042,0.2
zero_crossings_mean_lag3,84.6,25.632791498391274,0.0045310427,0.00087434176,0.0
spectral_entropy_mean_lag3__rel,85.0,59.10329940028729,0.00506554,0.002241549,0.0
spectral_entropy_std_lag3,86.8,39.574739417967116,0.004624696,0.0015206157,0.0
sample_entropy_std_lag3__rel,87.4,30.4538995860957,0.004413681,0.0009910682,0.0
line_length_mean_lag3,87.6,25.223798286538845,0.0044014677,0.00085435633,0.0
theta_relative_max__rel,88.0,21.36352030916253,0.004384063,0.0007442125,0.0
delta_relative_mean_lag3__rel,88.6,36.71838776417069,0.0045408243,0.0012784763,0.0
wavelet_energy_2_mean_lag3__rel,88.8,62.710126773911085,0.0050140587,0.0024259,0.2
higuchi_fd_max_lag3__rel,90.0,45.5411901469428,0.0046464265,0.0015572095,0.0
theta_power_max_lag1__rel,90.0,20.503658210182884,0.004285242,0.0005304235,0.0
wavelet_energy_1_max_lag3__rel,90.4,63.46841734280129,0.0057601733,0.004015132,0.2
zero_crossings_std_lag3__rel,90.4,66.82095479712932,0.004919599,0.0024831006,0.0
perm_entropy_max_lag1,92.4,44.77767300787302,0.0045023332,0.001387913,0.0
beta_power_std_lag1__rel,93.6,40.755858474580066,0.0043319864,0.0014463278,0.0
wavelet_energy_5_max_lag3__rel,94.4,59.85515850785127,0.0046488075,0.0018870161,0.0
higuchi_fd_std,95.0,21.69792616818483,0.0041605723,0.0006127394,0.0
higuchi_fd_std_lag3,95.0,13.798550648528272,0.004173542,0.00036738528,0.0
zero_crossings_max__rel,96.0,40.84115571332428,0.004225689,0.0010374082,0.0
spectral_entropy_mean_lag1__rel,96.0,70.08851546437548,0.0054328404,0.0038121077,0.2
wavelet_energy_3_max_rolling_mean_5__rel,96.0,38.6367700513384,0.0042423005,0.00096184976,0.0
higuchi_fd_max_lag1__rel,96.2,40.79901959606382,0.004274818,0.0013135315,0.0
delta_relative_mean,97.0,55.05996730838114,0.0044887154,0.0020269537,0.0
beta_relative_max_rolling_mean_5,98.4,25.943014474035202,0.004075283,0.0008446807,0.0
perm_entropy_std_lag1__rel,98.8,45.16370223974115,0.0043962253,0.0017748995,0.0
beta_relative_mean_lag1__rel,99.8,17.679366504487653,0.0040186723,0.00052554114,0.0
zero_crossings_mean_lag3__rel,100.0,69.06808235357342,0.0054299966,0.0041538007,0.2
theta_relative_mean_lag1__rel,101.2,26.19465594353169,0.0039700805,0.00084513193,0.0
spectral_entropy_max,102.8,63.66914480342892,0.0043843887,0.002106704,0.0
beta_relative_max,104.0,35.96109008358896,0.0039818874,0.0010706115,0.0
wavelet_energy_1_max_lag1__rel,104.6,55.53953546798893,0.0058081886,0.0049909027,0.2
alpha_power_max_lag1__rel,105.0,67.69342656417977,0.004955131,0.0032655976,0.2
higuchi_fd_mean_lag3,105.2,24.798387044322055,0.003857378,0.0008327994,0.0
zero_crossings_std,106.4,27.052541470257466,0.003759934,0.0007947551,0.0
min_max_rolling_mean_5__rel,107.2,25.38030732674449,0.0038471029,0.00068194006,0.0
alpha_relative_mean,107.2,49.41012042082067,0.003913234,0.0013518768,0.0
theta_power_max_lag3__rel,108.6,52.78863514053001,0.0040786327,0.0016990588,0.0
variance_std_lag1__rel,109.4,51.63177316343106,0.0040243,0.0018221348,0.0
wavelet_energy_4_mean_lag3__rel,110.8,43.49896550494046,0.0039481358,0.0014301098,0.0
gamma_power_mean__rel,111.6,37.35558860465191,0.0037852612,0.0011817431,0.0
alpha_relative_max__rel,111.6,28.104092228712886,0.003688325,0.00083661056,0.0
line_length_max_lag3,112.0,14.184498581197715,0.0036999197,0.00037142436,0.0
line_length_max_lag3__rel,113.8,31.593670252124873,0.0036985609,0.00077857095,0.0
variance_max_lag3__rel,114.4,46.163188798002246,0.0037206963,0.0013220765,0.0
wavelet_energy_0_max_lag1__rel,115.2,34.21344764854896,0.0036766313,0.0007778649,0.0
mad_max_lag3__rel,116.6,80.66374650361834,0.0041345186,0.00328071,0.0
higuchi_fd_std__rel,116.6,49.9383620075789,0.0037331365,0.001478892,0.0
higuchi_fd_std_lag3__rel,116.8,35.66735201833744,0.0035423576,0.0008521528,0.0
beta_relative_std_lag3__rel,117.0,61.14572756947128,0.0035562334,0.0020324937,0.0
higuchi_fd_max_lag3,117.2,48.275873891624165,0.0036925543,0.0015108829,0.0
wavelet_energy_3_max_lag1__rel,117.6,30.58496362593881,0.0035344448,0.0007149742,0.0
delta_relative_mean_lag1__rel,119.0,58.2889354852188,0.003742955,0.0015647314,0.0
gamma_relative_mean_rolling_mean_5__rel,119.4,60.58910793203676,0.003647516,0.0020068972,0.0
alpha_relative_mean_rolling_mean_5,119.6,40.34649922855761,0.003514037,0.0010320022,0.0
theta_power_mean_lag3__rel,120.6,43.306350573559065,0.003567636,0.0011714135,0.0
wavelet_energy_0_mean_lag3__rel,120.8,79.03518203939306,0.005548099,0.0054917145,0.2
rms_mean_lag1__rel,121.0,89.89549488155677,0.005472931,0.006080991,0.2
zero_crossings_std__rel,121.2,33.19277029715959,0.0034755536,0.0009298336,0.0
petrosian_fd_max_rolling_mean_5,121.2,25.317187837514656,0.003457018,0.00064758386,0.0
theta_relative_std__rel,122.0,44.059051283476364,0.0034610177,0.0012671481,0.0
wavelet_energy_3_mean_lag3__rel,124.2,29.047547228638773,0.0034041428,0.000700784,0.0
mad_max_lag1__rel,125.4,22.195495038408133,0.0033330743,0.00051064166,0.0
spectral_entropy_mean_lag3,125.4,49.568538408954524,0.003482591,0.0015030187,0.0
beta_relative_max_lag1,125.6,46.957853443274004,0.0033937525,0.0012160976,0.0
delta_power_mean_lag1__rel,126.0,51.0215640685387,0.0033819848,0.0013515129,0.0
petrosian_fd_std_lag1__rel,126.2,35.2272621700864,0.00332243,0.0009544944,0.0
beta_relative_std_lag1,126.2,45.36694832143771,0.0033786087,0.0011322421,0.0
variance_std_lag3__rel,126.4,50.88260999595048,0.0034625805,0.0013540532,0.0
beta_relative_std,126.6,19.80504986108341,0.0032790068,0.0005052285,0.0
beta_relative_max__rel,127.0,52.52808772456884,0.0035100374,0.0017074115,0.0
beta_relative_max_lag3,127.8,37.828031934003654,0.0032546301,0.0009907633,0.0
min_max_lag3__rel,130.0,20.32732151563506,0.0031643386,0.000593052,0.0
spectral_entropy_mean__rel,130.4,57.06697819229611,0.0038345132,0.0025516185,0.2
rms_max_lag1__rel,130.6,57.915800952762446,0.0030486688,0.001746197,0.0
