feature,importance_score,stability_score,generalization_score,fn_score,master_score,rank
wavelet_energy_0_mean_rolling_mean_5,0.0386036410927772,0.7371217999999999,0.898423,0.501585,0.03838824938124839,1
mad_mean,0.0334244892001152,0.6473052,0.7185900000000001,0.524372,0.023699872358890556,2
min_max,0.0291844811290502,0.6398736,0.6313219999999999,0.568634,0.018493483173382123,3
petrosian_fd_max_lag3,0.0184403546154499,0.6863912,0.745275,0.495956,0.014111602953273846,4
delta_power_mean_rolling_mean_5,0.0142814870923757,0.7149744,0.947537,0.452459,0.014052836169147815,5
iqr_mean,0.0193498432636261,0.6433226,0.7216640000000001,0.524372,0.013694061190962637,6
iqr_mean_rolling_mean_5,0.0166697241365909,0.6392608,0.726601,0.527213,0.01182502561745136,7
wavelet_energy_4_mean_rolling_mean_5,0.0130622144788503,0.7397526,0.73307,0.478087,0.010470049983261795,8
sample_entropy_mean_rolling_mean_5,0.0126266628503799,0.7090761999999999,0.766852,0.33541,0.009168698073687155,9
min_max_rolling_mean_5,0.0155533459037542,0.6158258,0.603918,0.559563,0.009021164614676058,10
perm_entropy_max_lag3,0.0089529780671,0.6873466,0.749601,0.499235,0.006915812001019622,11
zero_crossings_max_lag3,0.0126555422320961,0.6280014,0.683602,0.261038,0.0068512981578144495,12
zero_crossings_mean_rolling_mean_5,0.0086497506126761,0.6862094,0.756742,0.241148,0.005574830396422987,13
wavelet_energy_3_max_rolling_mean_5,0.0073468191549181,0.718922,0.625564,0.55623,0.005141935854458944,14
wavelet_energy_4_max_lag1,0.0059665716253221,0.7069998,0.7061200000000001,0.449016,0.004316143177398321,15
petrosian_fd_max,0.0054315272718667,0.6870229999999999,0.7452540000000001,0.505792,0.004187574458075547,16
petrosian_fd_max_lag1,0.0053934920579195,0.6857234,0.745289,0.509071,0.004159617513127023,17
petrosian_fd_max_rolling_mean_5,0.0052937869913876,0.67503,0.733708,0.574809,0.004128960035538147,18
petrosian_fd_mean_lag3,0.0047098300419747,0.693381,0.878431,0.367978,0.003924315712778362,19
beta_relative_std_rolling_mean_5,0.007359080016613,0.6611306,0.6412439999999999,0.233115,0.0038471372372913485,20
perm_entropy_max_rolling_mean_5,0.0043504582718014,0.6729312000000001,0.740568,0.58776,0.0034423535338198507,21
gamma_relative_max,0.0057162200100719,0.7304564,0.682932,0.192459,0.0034003541614558543,22
