merge_gap_sec,min_duration_sec,tp,fp,fn,event_f1
10,10,13,12,21,0.4407
10,20,11,6,23,0.4314
10,30,8,3,26,0.3556
10,45,3,1,31,0.1579
10,60,1,0,33,0.0571
20,10,14,10,20,0.4828
20,20,14,9,20,0.4912
20,30,11,7,23,0.4231
20,45,4,4,30,0.1905
20,60,1,1,33,0.0556
30,10,14,11,20,0.4746
30,20,14,10,20,0.4828
30,30,11,8,23,0.4151
30,45,4,5,30,0.186
30,60,1,3,33,0.0526
45,10,14,9,20,0.4912
45,20,14,9,20,0.4912
45,30,11,9,23,0.4074
45,45,4,5,30,0.186
45,60,1,3,33,0.0526
60,10,14,10,20,0.4828
60,20,14,10,20,0.4828
60,30,11,10,23,0.4
60,45,4,6,30,0.1818
60,60,1,4,33,0.0513
90,10,14,7,20,0.5091
90,20,14,7,20,0.5091
90,30,11,7,23,0.4231
90,45,4,5,30,0.186
90,60,1,3,33,0.0526
120,10,14,7,20,0.5091
120,20,14,7,20,0.5091
120,30,11,7,23,0.4231
120,45,4,5,30,0.186
120,60,1,3,33,0.0526
