patient,method,tp,fp,fn,precision,recall,f1
chb14,PRODUCTION,0,0,0,0.0,0.0,0.0
chb22,PRODUCTION,0,0,0,0.0,0.0,0.0
chb02,PRODUCTION,0,0,0,0.0,0.0,0.0
chb05,PRODUCTION,0,0,0,0.0,0.0,0.0
chb09,PRODUCTION,0,0,0,0.0,0.0,0.0
chb14,ADAPTIVE_THRESHOLD,3,17,5,0.15,0.375,0.21428571428571425
chb22,ADAPTIVE_THRESHOLD,3,7,0,0.3,1.0,0.4615384615384615
chb02,ADAPTIVE_THRESHOLD,3,1,0,0.75,1.0,0.8571428571428571
chb05,ADAPTIVE_THRESHOLD,5,53,0,0.08620689655172414,1.0,0.15873015873015872
chb09,ADAPTIVE_THRESHOLD,4,4,0,0.5,1.0,0.6666666666666666
chb02,CALIBRATION,2,0,1,1.0,0.6666666666666666,0.8
chb05,CALIBRATION,5,42,0,0.10638297872340426,1.0,0.1923076923076923
chb09,CALIBRATION,4,7,0,0.36363636363636365,1.0,0.5333333333333333
chb14,CALIBRATION,0,0,8,0.0,0.0,0.0
chb22,CALIBRATION,1,3,2,0.25,0.3333333333333333,0.28571428571428575
chb14,DOMAIN_SHIFT,0,2,8,0.0,0.0,0.0
chb14,DOMAIN_SHIFT,0,1,8,0.0,0.0,0.0
chb14,DOMAIN_SHIFT,0,0,8,0.0,0.0,0.0
chb14,DOMAIN_SHIFT,0,0,8,0.0,0.0,0.0
chb02,COMBINED,2,0,1,1.0,0.6666666666666666,0.8
chb05,COMBINED,5,42,0,0.10638297872340426,1.0,0.1923076923076923
chb09,COMBINED,4,7,0,0.36363636363636365,1.0,0.5333333333333333
chb14,COMBINED,3,17,5,0.15,0.375,0.21428571428571425
chb22,COMBINED,1,3,2,0.25,0.3333333333333333,0.28571428571428575
chb14,BEST_ABLATION_ADAPTIVE_ONLY,3,17,5,0.15,0.375,0.21428571428571425
chb22,BEST_ABLATION_ADAPTIVE_ONLY,3,7,0,0.3,1.0,0.4615384615384615
chb02,BEST_ABLATION_BASELINE,3,1,0,0.75,1.0,0.8571428571428571
chb05,BEST_ABLATION_CALIBRATION_ONLY,5,42,0,0.10638297872340426,1.0,0.1923076923076923
chb09,BEST_ABLATION_BASELINE,4,4,0,0.5,1.0,0.6666666666666666
