feature,importance,rank
theta_relative_max,0.03137805077023429,1
mad_mean,0.029339609388207743,2
theta_relative_mean,0.02890434177926625,3
iqr_mean,0.02529089365985343,4
theta_relative_std,0.020757096739824166,5
rms_mean,0.019240927490951867,6
std_mean,0.0188503519796291,7
petrosian_fd_mean,0.017625595692851603,8
perm_entropy_max,0.01743675873751049,9
petrosian_fd_std,0.017341884520595405,10
beta_relative_mean,0.016459460793808545,11
min_max,0.01624365094501583,12
delta_relative_mean,0.01621829349105275,13
perm_entropy_mean,0.016104286211559415,14
beta_relative_std,0.015503987540589887,15
petrosian_fd_max,0.015433585830817824,16
higuchi_fd_max,0.015216577004605568,17
ptp_mean,0.015066012459869327,18
alpha_relative_mean,0.014998400132918232,19
spectral_entropy_max,0.014780808414922223,20
perm_entropy_std,0.014760695697440476,21
higuchi_fd_mean,0.014687112455486477,22
iqr_max,0.014083301691205946,23
beta_relative_max,0.014075716362478227,24
zero_crossings_max,0.013632231881204,25
zero_crossings_mean,0.01346119074149752,26
sample_entropy_max,0.01326038810846753,27
min_mean,0.013117245088792244,28
mad_std,0.012917373747842442,29
gamma_relative_max,0.012834520204722973,30
gamma_relative_std,0.012733278853208397,31
sample_entropy_mean,0.01253467463854047,32
line_length_mean,0.012305488087200576,33
gamma_relative_mean,0.012268429550217357,34
sample_entropy_std,0.012091400867420292,35
wavelet_energy_1_mean,0.011898338029851472,36
mad_max,0.011814015846877109,37
zero_crossings_std,0.011012821923993929,38
iqr_std,0.010942009925311184,39
delta_relative_std,0.010735452364699517,40
spectral_entropy_std,0.010399407641234247,41
max_mean,0.01038691534475072,42
alpha_relative_max,0.010255363690020473,43
alpha_relative_std,0.010206635696689118,44
variance_mean,0.009838146410983118,45
line_length_max,0.009764676254875744,46
higuchi_fd_std,0.009749210704397071,47
rms_max,0.009492287032029666,48
std_max,0.009193514397013469,49
std_std,0.00910733115191356,50
theta_power_mean,0.009042634030411141,51
spectral_entropy_mean,0.008982168795497916,52
delta_power_mean,0.008821349323519023,53
line_length_std,0.008639209762080914,54
max_std,0.008277340754340388,55
max_max,0.007970020231332675,56
wavelet_energy_2_mean,0.007866896153616324,57
wavelet_energy_1_std,0.007692513971090014,58
rms_std,0.007643681839754682,59
ptp_std,0.0075038760521111934,60
ptp_max,0.007370208397035321,61
delta_relative_max,0.007091324740638697,62
wavelet_energy_3_mean,0.006927000171935132,63
wavelet_energy_0_mean,0.006702123773808264,64
wavelet_energy_1_max,0.006546106397306583,65
min_std,0.006394149467944124,66
delta_power_max,0.006177859130041322,67
alpha_power_mean,0.00609811637298037,68
beta_power_mean,0.0056679033683385725,69
mean_std,0.0056174194416286774,70
gamma_power_mean,0.005524707348801248,71
theta_power_std,0.005350047090229444,72
wavelet_energy_3_std,0.005348449745634746,73
wavelet_energy_5_mean,0.0052355392700075215,74
wavelet_energy_2_std,0.005211156314297605,75
variance_max,0.004983425633103258,76
variance_std,0.004977487229052399,77
mean_max,0.004913892616263235,78
wavelet_energy_0_std,0.004879073525559827,79
wavelet_energy_4_mean,0.004847737472725402,80
wavelet_energy_3_max,0.004688706280318742,81
wavelet_energy_0_max,0.004595647412313243,82
beta_power_std,0.0045412015433421785,83
theta_power_max,0.004529581265645442,84
wavelet_energy_5_std,0.004497152546437923,85
delta_power_std,0.004419882871402228,86
beta_power_max,0.004416042360118179,87
wavelet_energy_5_max,0.004407067872767767,88
wavelet_energy_2_max,0.004392804043589205,89
alpha_power_std,0.004049092702296735,90
alpha_power_max,0.003911264274715981,91
wavelet_energy_4_std,0.0038785032671710268,92
gamma_power_std,0.0037575807241324705,93
gamma_power_max,0.003698986163073831,94
wavelet_energy_4_max,0.003520673771996668,95
mean_mean,0.0026426465051431593,96
